Timestamp,SensorValue
2025-07-18 23:35:58,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:00,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:02,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:04,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:06,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:08,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:10,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:12,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:14,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:16,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:18,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:20,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:22,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:24,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:26,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:28,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:30,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:32,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:34,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:36,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:38,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:40,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:42,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:44,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:46,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:49,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:51,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:53,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:55,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:57,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:36:59,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:01,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:03,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:05,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:07,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:09,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:11,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:13,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:15,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:17,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:19,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:21,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:23,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:25,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:27,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:29,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:31,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:33,Temperature: 27.60°C  |  Humidity: 73.00%
